Provinsi / Kabupaten / Kota,Indeks Pembangunan Manusia Menurut Kabupaten/Kota
KONAWE UTARA,70.66
KOLAKA TIMUR,68.59
KONAWE KEPULAUAN,66.04
MUNA BARAT,-
BUTON TENGAH,-
BUTON SELATAN,-
KOTA KENDARI,77.02
KOTA BAU-BAU,75.1
GORONTALO,71.77
BOALEMO,69.78
GORONTALO,71.45
POHUWATO,71.32
BONE BOLANGO,73.24
GORONTALO UTARA,70.81
KOTA GORONTALO,74.71
SULAWESI BARAT,71.41
MAJENE,73.16
POLEWALI MANDAR,69.17
MAMASA,72.56
MAMUJU,71.38
MAMUJU UTARA,71.14
MAMUJU TENGAH,71.59
MALUKU,72.7
MALUKU TENGGARA BARAT,69.87
MALUKU TENGGARA,73.6
MALUKU TENGAH,71.81
BURU,70.79
KEPULAUAN ARU,71.29
SERAM BAGIAN BARAT,70.75
SERAM BAGIAN TIMUR,69.11
MALUKU BARAT DAYA,67.67
BURU SELATAN,70.23
KOTA AMBON,79.58
KOTA TUAL,77.91
MALUKU UTARA,70.63
HALMAHERA BARAT,68.56
HALMAHERA TENGAH,70.55
KEPULAUAN SULA,69.59
HALMAHERA SELATAN,69.45
HALMAHERA UTARA,70.36
HALMAHERA TIMUR,69.42
PULAU MOROTAI,67.03
PULAU TALIABU,64.99
KOTA TERNATE,78.44
KOTA TIDORE KEPULAUAN,70.8
PAPUA BARAT,70.62
FAKFAK,73.33
KAIMANA,71.87
TELUK WONDAMA,67.54
TELUK BINTUNI,67.95
MANOKWARI,68.61
SORONG SELATAN,67.28
SORONG,69.74
RAJA AMPAT,66.08
TAMBRAUW,51.54
MAYBRAT,67.6
MANOKWARI SELATAN,61.91
PEGUNUNGAN ARFAK,61.75
KOTA SORONG,78.92
PAPUA,66.25
MERAUKE,67.48
JAYAWIJAYA,57.55
JAYAPURA,73.79
NABIRE,68.49
KEPULAUAN YAPEN,71.4
BIAK NUMFOR,71.03
PANIAI,60.81
PUNCAK JAYA,68.68
MIMIKA,70.39
BOVEN DIGOEL,51.93
MAPPI,52.08
ASMAT,52.44
YAHUKIMO,51.14
PEGUNUNGAN BINTANG,50.32
TOLIKARA,53.06
SARMI,68.18
KEEROM,70.42
WAROPEN,64.77
SUPIORI,69.5
MAMBERAMO RAYA,60.64
NDUGA,49.29
LANNY JAYA,51.07
MAMBERAMO TENGAH,50.11
YALIMO,49.86
PUNCAK,50.18
DOGIYAI,51.42
INTAN JAYA,49.61
DEIYAI,50.19
KOTA JAYAPURA,77.12
INDONESIA,73.81
