Kabupaten_Kota,Angka_Harapan_Hidup,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Rata_Lama_Sekolah
kota batu,70.32,336844.0,76.09,8.34
kota bekasi,70.16,449026.0,77.67,10.49
kota bengkulu,70.86,433081.0,78.77,11.29
kota bima,63.62,262967.0,70.73,9.46
kota binjai,72.07,305596.0,77.79,9.75
kota bitung,70.9,291316.0,76.66,9.15
kota blitar,73.0,304224.0,78.7,9.53
kota bogor,69.25,360518.0,76.82,9.96
kota bontang,73.12,422951.0,78.4,10.34
kota bukittinggi,71.89,356752.0,79.29,10.66
kota cilegon,68.97,295100.0,76.31,9.6
kota cimahi,69.82,347234.0,76.86,10.66
kota cirebon,69.04,334439.0,76.67,9.33
kota denpasar,73.46,407191.0,79.41,10.9
kota depok,73.64,443302.0,80.14,10.43
kota dumai,72.29,328158.0,78.99,9.54
kota gorontalo,67.54,332241.0,74.71,10.24
kota gunungsitoli,70.82,284492.0,72.99,8.16
kota jambi,70.15,346099.0,77.52,10.55
kota jayapura,68.77,643498.0,77.12,10.88
kota kediri,71.36,349925.0,77.8,9.57
kota kendari,69.64,255229.0,77.02,11.57
kota kotamobagu,72.34,235763.0,77.05,9.56
kota kupang,73.46,400641.0,78.62,11.35
kota langsa,71.23,298749.0,75.1,10.47
kota lhokseumawe,72.03,293788.0,77.84,10.37
kota lubuklinggau,66.05,362872.0,71.83,9.29
kota madiun,71.89,320210.0,78.17,10.86
kota magelang,70.74,350554.0,77.91,10.22
kota malang,71.14,362162.0,78.78,9.82
kota manado,72.96,279910.0,79.34,10.8
kota mataram,68.12,359651.0,74.58,9.04
kota medan,72.37,396112.0,78.62,10.76
kota metro,72.98,293994.0,77.53,10.47
kota mojokerto,72.48,312919.0,78.66,9.91
kota padang,71.44,377943.0,78.82,10.89
kota padang panjang,72.08,354955.0,78.81,10.53
kota padangsidimpuan,69.89,300280.0,76.31,10.1
kota pagar alam,70.7,249089.0,74.47,8.45
kota palangka raya,73.69,281323.0,79.52,10.69
kota palembang,71.67,392560.0,77.74,10.19
kota palopo,72.93,224562.0,77.7,9.95
kota palu,70.72,378455.0,77.88,11.14
kota pangkal pinang,70.95,475480.0,77.3,9.62
kota pariaman,69.54,331511.0,75.46,9.88
kota pasuruan,66.75,316862.0,74.75,9.03
kota payakumbuh,70.96,366691.0,76.99,9.93
kota pekalongan,70.83,322313.0,75.75,7.96
kota pekanbaru,71.94,381287.0,79.47,10.93
kota pematang siantar,72.54,379314.0,78.62,10.62
kota pontianak,67.88,341422.0,74.64,9.36
kota prabumulih,72.8,399934.0,75.83,9.52
kota probolinggo,71.16,364317.0,75.94,8.42
kota sabang,71.89,451218.0,77.23,10.21
kota salatiga,71.45,302884.0,77.54,9.2
kota samarinda,71.92,460975.0,78.79,10.2
kota sawah lunto,72.11,267079.0,76.11,9.45
kota semarang,72.44,328271.0,78.54,10.06
kota serang,66.65,236039.0,73.12,8.56
